
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (14400 ELS. CTES.)  


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= ****
  NÚMERO DE ELEMENTOS DE CONTORNO= 6400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= ****
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
       1     -0.4000000D+02     -0.4000000D+02      0.0000000D+00
       2     -0.4000000D+02      0.4000000D+02      0.0000000D+00
       3     -0.4000000D+02     -0.3900000D+02      0.0000000D+00
       4     -0.4000000D+02     -0.3800000D+02      0.0000000D+00
       5     -0.4000000D+02     -0.3700000D+02      0.0000000D+00
       6     -0.4000000D+02     -0.3600000D+02      0.0000000D+00
       7     -0.4000000D+02     -0.3500000D+02      0.0000000D+00
       8     -0.4000000D+02     -0.3400000D+02      0.0000000D+00
       9     -0.4000000D+02     -0.3300000D+02      0.0000000D+00
      10     -0.4000000D+02     -0.3200000D+02      0.0000000D+00
      11     -0.4000000D+02     -0.3100000D+02      0.0000000D+00
      12     -0.4000000D+02     -0.3000000D+02      0.0000000D+00
      13     -0.4000000D+02     -0.2900000D+02      0.0000000D+00
      14     -0.4000000D+02     -0.2800000D+02      0.0000000D+00
      15     -0.4000000D+02     -0.2700000D+02      0.0000000D+00
      16     -0.4000000D+02     -0.2600000D+02      0.0000000D+00
      17     -0.4000000D+02     -0.2500000D+02      0.0000000D+00
      18     -0.4000000D+02     -0.2400000D+02      0.0000000D+00
      19     -0.4000000D+02     -0.2300000D+02      0.0000000D+00
      20     -0.4000000D+02     -0.2200000D+02      0.0000000D+00
      21     -0.4000000D+02     -0.2100000D+02      0.0000000D+00
      22     -0.4000000D+02     -0.2000000D+02      0.0000000D+00
      23     -0.4000000D+02     -0.1900000D+02      0.0000000D+00
      24     -0.4000000D+02     -0.1800000D+02      0.0000000D+00
      25     -0.4000000D+02     -0.1700000D+02      0.0000000D+00
      26     -0.4000000D+02     -0.1600000D+02      0.0000000D+00
      27     -0.4000000D+02     -0.1500000D+02      0.0000000D+00
      28     -0.4000000D+02     -0.1400000D+02      0.0000000D+00
      29     -0.4000000D+02     -0.1300000D+02      0.0000000D+00
      30     -0.4000000D+02     -0.1200000D+02      0.0000000D+00
      31     -0.4000000D+02     -0.1100000D+02      0.0000000D+00
      32     -0.4000000D+02     -0.1000000D+02      0.0000000D+00
      33     -0.4000000D+02     -0.9000000D+01      0.0000000D+00
      34     -0.4000000D+02     -0.8000000D+01      0.0000000D+00
      35     -0.4000000D+02     -0.7000000D+01      0.0000000D+00
      36     -0.4000000D+02     -0.6000000D+01      0.0000000D+00
      37     -0.4000000D+02     -0.5000000D+01      0.0000000D+00
      38     -0.4000000D+02     -0.4000000D+01      0.0000000D+00
      39     -0.4000000D+02     -0.3000000D+01      0.0000000D+00
      40     -0.4000000D+02     -0.2000000D+01      0.0000000D+00
      41     -0.4000000D+02     -0.1000000D+01      0.0000000D+00
      42     -0.4000000D+02      0.1421100D-13      0.0000000D+00
      43     -0.4000000D+02      0.1000000D+01      0.0000000D+00
      44     -0.4000000D+02      0.2000000D+01      0.0000000D+00
      45     -0.4000000D+02      0.3000000D+01      0.0000000D+00
      46     -0.4000000D+02      0.4000000D+01      0.0000000D+00
      47     -0.4000000D+02      0.5000000D+01      0.0000000D+00
      48     -0.4000000D+02      0.6000000D+01      0.0000000D+00
      49     -0.4000000D+02      0.7000000D+01      0.0000000D+00
      50     -0.4000000D+02      0.8000000D+01      0.0000000D+00
      51     -0.4000000D+02      0.9000000D+01      0.0000000D+00
      52     -0.4000000D+02      0.1000000D+02      0.0000000D+00
      53     -0.4000000D+02      0.1100000D+02      0.0000000D+00
      54     -0.4000000D+02      0.1200000D+02      0.0000000D+00
      55     -0.4000000D+02      0.1300000D+02      0.0000000D+00
      56     -0.4000000D+02      0.1400000D+02      0.0000000D+00
      57     -0.4000000D+02      0.1500000D+02      0.0000000D+00
      58     -0.4000000D+02      0.1600000D+02      0.0000000D+00
      59     -0.4000000D+02      0.1700000D+02      0.0000000D+00
      60     -0.4000000D+02      0.1800000D+02      0.0000000D+00
      61     -0.4000000D+02      0.1900000D+02      0.0000000D+00
      62     -0.4000000D+02      0.2000000D+02      0.0000000D+00
      63     -0.4000000D+02      0.2100000D+02      0.0000000D+00
      64     -0.4000000D+02      0.2200000D+02      0.0000000D+00
      65     -0.4000000D+02      0.2300000D+02      0.0000000D+00
      66     -0.4000000D+02      0.2400000D+02      0.0000000D+00
      67     -0.4000000D+02      0.2500000D+02      0.0000000D+00
      68     -0.4000000D+02      0.2600000D+02      0.0000000D+00
      69     -0.4000000D+02      0.2700000D+02      0.0000000D+00
      70     -0.4000000D+02      0.2800000D+02      0.0000000D+00
      71     -0.4000000D+02      0.2900000D+02      0.0000000D+00
      72     -0.4000000D+02      0.3000000D+02      0.0000000D+00
      73     -0.4000000D+02      0.3100000D+02      0.0000000D+00
      74     -0.4000000D+02      0.3200000D+02      0.0000000D+00
      75     -0.4000000D+02      0.3300000D+02      0.0000000D+00
      76     -0.4000000D+02      0.3400000D+02      0.0000000D+00
      77     -0.4000000D+02      0.3500000D+02      0.0000000D+00
      78     -0.4000000D+02      0.3600000D+02      0.0000000D+00
      79     -0.4000000D+02      0.3700000D+02      0.0000000D+00
      80     -0.4000000D+02      0.3800000D+02      0.0000000D+00
      81     -0.4000000D+02      0.3900000D+02      0.0000000D+00
      82      0.4000000D+02      0.4000000D+02      0.0000000D+00
      83     -0.3900000D+02      0.4000000D+02      0.0000000D+00
      84     -0.3800000D+02      0.4000000D+02      0.0000000D+00
      85     -0.3700000D+02      0.4000000D+02      0.0000000D+00
      86     -0.3600000D+02      0.4000000D+02      0.0000000D+00
      87     -0.3500000D+02      0.4000000D+02      0.0000000D+00
      88     -0.3400000D+02      0.4000000D+02      0.0000000D+00
      89     -0.3300000D+02      0.4000000D+02      0.0000000D+00
      90     -0.3200000D+02      0.4000000D+02      0.0000000D+00
      91     -0.3100000D+02      0.4000000D+02      0.0000000D+00
      92     -0.3000000D+02      0.4000000D+02      0.0000000D+00
      93     -0.2900000D+02      0.4000000D+02      0.0000000D+00
      94     -0.2800000D+02      0.4000000D+02      0.0000000D+00
      95     -0.2700000D+02      0.4000000D+02      0.0000000D+00
